,X.1,Title,Studio,calWeeklyGross,totTheatreCount,totGross,totBudget,WeeksOn,startYear,startWeek,X,Search,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,IMDBRating,RTRating,Metacritic,IMDBVotes,imdbID,Type,DVD,Production,Website
2776,2776,To the Arctic (IMAX),WB,NA,166,16195400,         NA,295,2014,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2777,2777,Toilet: Ek Prem Katha,Relbig.,1900400,456,1900400,         NA,4,2017,32,NA,NA,NA,N/A,11/08/2017,155 min,"Comedy, Drama",Shree Narayan Singh,"Garima, Siddharth","Akshay Kumar, Bhumi Pednekar, Sudhir Pandey, Divyendu Sharma","A woman threatens to leave her husband unless he installs a toilet in their home. To win back her love and respect, he heads out on a journey to fight against the backward society.",Hindi,India,2 wins & 8 nominations.,https://m.media-amazon.com/images/M/MV5BMTAxODQ2NDEwOTZeQTJeQWpwZ15BbWU4MDk5MDM3NjIy._V1_SX300.jpg,74,NA,NA,11742,tt5785170,movie,NA,N/A,N/A
2778,2778,Tom of Finland,KL,382200,112,382800,         NA,9,2017,41,2329,Tom of Finland,NA,NOT RATED,24/02/2017,115 min,"Biography, Drama",Dome Karukoski,"Aleksi Bardy (screenplay), Aleksi Bardy (story by), Dome Karukoski (story by), Mark Alton Brown (additional dialogue), Noam Andrews (Additional Storylines), Kauko Röyhkä (Additional Storylines), Mia Ylönen (Additional Storylines), Susanna Luoto (consultant)","Pekka Strang, Seumas F. Sargent, Chris Myland, Alf Myreen","Award-winning filmmaker Dome Karukoski brings to screen the life and work of artist Touko Valio Laaksonen (aka Tom of Finland), one of the most influential and celebrated figures of twentieth century gay culture.","Finnish, German, English","Finland, Sweden, Denmark, Germany, Iceland, USA",2 wins & 9 nominations.,https://m.media-amazon.com/images/M/MV5BMTY5NjM3ODI1OV5BMl5BanBnXkFtZTgwNzcyMDM1MzI@._V1_SX300.jpg,69,81,56,3183,tt5226984,movie,6/02/2018,Kino Lorber,http://tof.fi/
2779,2779,Tom of Finland (Gathr Release),Gathr,1800,2,3300,         NA,8,2018,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2780,2780,Tomb Raider,WB,57835200,13692,56748300,9400000,9,2018,11,2330,Tomb Raider,NA,PG-13,16/03/2018,118 min,"Action, Adventure, Fantasy",Roar Uthaug,"Geneva Robertson-Dworet (screenplay by), Alastair Siddons (screenplay by), Evan Daugherty (story by), Geneva Robertson-Dworet (story by)","Alicia Vikander, Dominic West, Walton Goggins, Daniel Wu","Lara Croft, the fiercely independent daughter of a missing adventurer, must push herself beyond her limits when she discovers the island where her father disappeared.","English, Cantonese","UK, USA",N/A,https://m.media-amazon.com/images/M/MV5BOTY4NDcyZGQtYmVlNy00ODgwLTljYTMtYzQ2OTE3NDhjODMwXkEyXkFqcGdeQXVyNzYzODM3Mzg@._V1_SX300.jpg,64,49,48,110671,tt1365519,movie,12/06/2018,Warner Bros. Pictures,http://www.tombraidermovie.com/
2781,2781,Tommy's Honour,RAtt.,589600,386,589700,         NA,7,2017,15,2331,Tommy's Honour,NA,PG,14/04/2017,112 min,"Biography, Drama, Romance",Jason Connery,"Pamela Marin, Kevin Cook","Sam Neill, Ophelia Lovibond, Jack Lowden, Peter Mullan","In every generation, a torch passes from father to son. And that timeless dynamic is the beating heart of Tommy's Honour - an intimate, powerfully moving tale of the real-life founders of the modern game of golf.",English,"UK, USA",1 win & 2 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BNzA4OTQ4NTc3OF5BMl5BanBnXkFtZTgwMzIwMzY2MDI@._V1_SX300.jpg,61,68,56,540,tt3467914,movie,18/07/2017,Roadside Attractions,http://www.tommyshonour.com/
2782,2782,Tomorrow,UTMW,NA,37,64600,         NA,9,2017,15,2332,Tomorrow,NA,G,14/04/2017,118 min,Documentary,"Cyril Dion, Mélanie Laurent",Cyril Dion,"Anthony Barnosky, Olivier De Schutter, Cyril Dion, Emmanuel Druon","Climate is changing. Instead of showing all the worst that can happen, this documentary focuses on the people suggesting solutions and their actions.","English, French, Finnish",France,1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMjhmYjY3MjYtMWY1Ny00MjUzLTgyODktMzQwNmJlZDQ5YzA4XkEyXkFqcGdeQXVyMzMwODMxMTQ@._V1_SX300.jpg,81,NA,71,2550,tt4449576,movie,NA,N/A,N/A
2783,2783,Tomorrowland,BV,102668300,17510,104988400,19000000,9,2015,21,2333,Tomorrowland,NA,PG,22/05/2015,130 min,"Action, Adventure, Family",Brad Bird,"Damon Lindelof (screenplay by), Brad Bird (screenplay by), Damon Lindelof (story by), Brad Bird (story by), Jeff Jensen (story by)","George Clooney, Hugh Laurie, Britt Robertson, Raffey Cassidy","Bound by a shared destiny, a teen bursting with scientific curiosity and a former boy-genius inventor embark on a mission to unearth the secrets of a place somewhere in time and space that exists in their collective memory.","English, French, Japanese","USA, Spain, France, UK",2 wins & 17 nominations.,https://m.media-amazon.com/images/M/MV5BMTQ4OTgzNTkwNF5BMl5BanBnXkFtZTgwMzI3MDE3NDE@._V1_SX300.jpg,65,49,60,155673,tt1964418,movie,13/10/2015,Walt Disney Pictures,http://movies.disney.com/tomorrowland/
2784,2784,Toni Erdmann,SPC,1478000,536,1532300,         NA,9,2016,52,2334,Toni Erdmann,NA,R,25/12/2016,162 min,"Comedy, Drama",Maren Ade,Maren Ade (screenplay),"Sandra Hüller, Peter Simonischek, Michael Wittenborn, Thomas Loibl",A practical joking father tries to reconnect with his hard working daughter by creating an outrageous alter ego and posing as her CEO's life coach.,"German, English, Romanian","Germany, Austria, Monaco, Romania, France",Nominated for 1 Oscar. Another 50 wins & 73 nominations.,https://m.media-amazon.com/images/M/MV5BYzA4OGQ5NmMtNzM1ZC00YzIxLThmZWQtODkyYTA0ZGI3MGIzXkEyXkFqcGdeQXVyMjQwNjczOTE@._V1_SX300.jpg,74,93,93,34452,tt4048272,movie,11/04/2017,Sony Pictures Classics,http://sonyclassics.com/tonierdmann/
2785,2785,Too Late,Vanishing,64400,35,64200,         NA,9,2016,12,2335,Too Late,NA,NOT RATED,1/04/2016,107 min,"Drama, Mystery, Thriller",Dennis Hauck,Dennis Hauck,"Natalie Zea, Crystal Reed, John Hawkes, Dichen Lachman",Explores the tangled relationship between a troubled private investigator and the missing woman he's hired to help find.,English,USA,1 win & 3 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk5Mzk4NjA4MV5BMl5BanBnXkFtZTgwNjgyODI5NTE@._V1_SX300.jpg,67,72,54,1522,tt2394063,movie,NA,N/A,N/A
2786,2786,Top Five,Par.,28527800,5830,28903100,         NA,8,2014,50,2336,Top Five,NA,R,12/12/2014,102 min,"Comedy, Romance",Chris Rock,Chris Rock,"Chris Rock, Rosario Dawson, J.B. Smoove, Gabrielle Union",A comedian tries to make it as a serious actor when his reality-TV star fiancée talks him into broadcasting their wedding on her TV show.,English,USA,7 wins & 19 nominations.,https://m.media-amazon.com/images/M/MV5BMjIzNTg4ODM3OV5BMl5BanBnXkFtZTgwMTk0MjkxMzE@._V1_SX300.jpg,64,86,81,24123,tt2784678,movie,17/03/2015,Paramount Pictures,http://www.topfivemovie.com/
2787,2787,Top Spin,FRun,5500,7,6200,         NA,8,2015,34,2337,Top Spin,NA,N/A,15/11/2014,80 min,Documentary,"Sara Newens, Mina T. Son",N/A,"Ariel Hsing, Michael Hsing, Xinhua Jiang, Joan Landers",Three teenagers' quest to qualify for the 2012 US Olympic table tennis team.,"English, Chinese",USA,2 wins & 3 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTExMzk3MDIyNzdeQTJeQWpwZ15BbWU4MDIyODkwNzUx._V1_SX300.jpg,70,100,81,437,tt4219836,movie,NA,First Run Features,http://www.topspinmovie.com/
2788,2788,Tosca's Kiss (2014 re-release),Icar.,18100,12,19200,         NA,9,2014,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2789,2789,Touch the Wall,TTW,13600,6,13600,         NA,3,2014,48,2338,Touch the Wall,NA,NOT RATED,15/11/2014,101 min,"Documentary, Family, Sport","Grant Barbeito, Christo Brock",Christo Brock,"Missy Franklin, Kara Lynn Joyce, Da Franklin, Dick Franklin","Swimming superstar Missy Franklin was destined for greatness at an early age, but it wasn't until the arrival of Veteran Kara Lynn Joyce that those sky-high expectations began to take shape.",English,"USA, UK",N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg2NDYyMDAxMF5BMl5BanBnXkFtZTgwNjQyMTAxMzE@._V1_SX300.jpg,86,NA,NA,85,tt2980728,movie,NA,"mTuckman Media, TUGG Films",http://www.touchthewall.com/
2790,2790,Touched with Fire,RAtt.,158300,96,158300,         NA,4,2016,7,2339,Touched with Fire,NA,R,10/05/2017,106 min,"Drama, Romance",Paul Dalio,Paul Dalio,"Katie Holmes, Luke Kirby, Christine Lahti, Griffin Dunne",Two bipolar patients meet in a psychiatric hospital and begin a romance that brings out all of the beauty and horror of their condition.,English,USA,2 wins.,https://ia.media-imdb.com/images/M/MV5BMTc1NTE0MTAzNV5BMl5BanBnXkFtZTgwNzczNzU0NzE@._V1_SX300.jpg,61,NA,62,1708,tt2848324,movie,NA,N/A,N/A
2791,2791,Tough Being Loved By Jerks,KL,800,13,800,         NA,4,2015,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2792,2792,Tournament,Gathr,1500,2,4900,         NA,32,2018,18,2340,Tournament,NA,N/A,6/01/2011,150 min,"Drama, Thriller",Lal,N/A,"Aryan, Bijukuttan, Fahadh Faasil, Indrans","Tournament is a road movie in which the story progresses as the main characters embark on a journey. Viswam, Usman, Balu, Bobby, Chilambu and Subu start from Kochi for a Cricket match ...",Malayalam,India,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BZDYzZDJmNDgtZmExNi00N2JjLTkxMjQtNDYzNzAzZTg2ZGQ2XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_SX300.jpg,43,NA,NA,131,tt1820720,movie,NA,N/A,N/A
2793,2793,Tower,KL,105000,56,104600,         NA,9,2016,40,2341,Tower,NA,TV-14,3/02/2017,96 min,"Documentary, Animation, Crime",Keith Maitland,N/A,"Violett Beane, Louie Arnette, Blair Jackson, Monty Muir","Animation, testimony, and archival footage combine to relate the events of August 1, 1966 when a gunman opened fire from the University of Texas clock tower, killing 16 people.",English,USA,17 wins & 24 nominations.,https://ia.media-imdb.com/images/M/MV5BNjI1Nzg3NTgyOV5BMl5BanBnXkFtZTgwNzIwMjIxMDI@._V1_SX300.jpg,80,100,92,4972,tt5116410,movie,21/03/2017,Go-Valley,http://www.towerdocumentary.com/
2794,2794,Trace Amounts,Gathr,79600,55,86000,         NA,8,2015,1,2342,Trace Amounts,NA,NOT RATED,23/05/2014,97 min,"Documentary, Adventure, Drama","Eric Gladen, Shiloh Levine(co-director)",Eric Gladen,Eric Gladen,"After recovering from a devastating sickness that brought him to the edge of despair, Eric Gladen would quit his career, move into an RV, and travel the country for years trying to piece ...",English,USA,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BMTkzODU1NDYxMl5BMl5BanBnXkFtZTgwNTIxMjU0NTE@._V1_SX300.jpg,69,NA,NA,157,tt3715598,movie,NA,Gathr Films,http://www.traceamounts.com
2795,2795,Tracks (2014),Wein.,570700,266,569600,         NA,9,2014,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2796,2796,Trafficked,EpicPics,19900,22,19900,         NA,2,2017,40,2343,Trafficked,NA,R,6/10/2017,104 min,"Drama, Thriller",Will Wallace,Siddharth Kara (screenplay),"Ashley Judd, Elisabeth Röhm, Sean Patrick Flanery, Madison Wolfe","In this story inspired by real characters, three girls from America, Nigeria and India are trafficked through an elaborate global network and enslaved in a Texas brothel, and must together attempt a daring escape to reclaim their freedom.",English,USA,N/A,https://ia.media-imdb.com/images/M/MV5BMjk5NmM0ZGMtYTY2Ny00ZTBiLWFiM2UtYmVlODQxNWU2NDc2XkEyXkFqcGdeQXVyMTcwMjE4MTQ@._V1_SX300.jpg,51,17,38,394,tt1720621,movie,11/01/2018,Epic Pictures,N/A
2797,2797,Traffik,LGF,9078300,3376,9078400,         NA,6,2018,16,2344,Traffik,NA,R,20/04/2018,96 min,Thriller,Deon Taylor,Deon Taylor,"Priscilla Quintana, Luke Goss, Paula Patton, William Fichtner","A couple off for a romantic weekend in the mountains are accosted by a biker gang. Alone in the mountains, Brea and John must defend themselves against the gang, who will stop at nothing to protect their secrets.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjIzMzc4MDAzM15BMl5BanBnXkFtZTgwMDA3NjUyNTM@._V1_SX300.jpg,63,26,37,12006,tt5670152,movie,17/07/2018,Codeblack Films,http://traffik.movie
2798,2798,Tragedy Girls,G&S,62300,73,62400,         NA,8,2017,42,2345,Tragedy Girls,NA,R,20/10/2017,98 min,"Comedy, Crime, Horror",Tyler MacIntyre,"Chris Lee Hill, Tyler MacIntyre, Justin Olson (based on an original screenplay by)","Brianna Hildebrand, Alexandra Shipp, Jack Quaid, Kevin Durand","A twist on the slasher genre, following two death-obsessed teenage girls who use their online show about real-life tragedies to send their small mid-western town into a frenzy, and cement their legacy as modern horror legends.",English,USA,8 wins & 3 nominations.,https://m.media-amazon.com/images/M/MV5BNGYzZGZlYmUtYjRkNy00MmJiLWI5YjktYWQ3NmQ0MWQ3M2I5XkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_SX300.jpg,60,80,58,5110,tt3859272,movie,NA,Gunpowder & Sky,https://www.tragedygirlsmovie.com/
2799,2799,Train to Busan,WGUSA,2315800,290,2241900,         NA,9,2016,30,2346,Train to Busan,NA,TV-MA,20/07/2016,118 min,"Action, Horror, Thriller",Sang-ho Yeon,"Joo-Suk Park, Sang-ho Yeon (screenplay)","Yoo Gong, Yu-mi Jung, Dong-seok Ma, Su-an Kim","While a zombie virus breaks out in South Korea, passengers struggle to survive on the train from Seoul to Busan.",Korean,South Korea,30 wins & 36 nominations.,https://m.media-amazon.com/images/M/MV5BMTkwOTQ4OTg0OV5BMl5BanBnXkFtZTgwMzQyOTM0OTE@._V1_SX300.jpg,75,95,72,90022,tt5700672,movie,17/01/2017,Redpeter Film,http://wellgousa.com/theatrical/train-to-busan
2800,2800,Trainwreck,Uni.,123618000,18674,123165700,3500000,9,2015,29,2347,Trainwreck,NA,R,17/07/2015,125 min,"Comedy, Drama, Romance",Judd Apatow,Amy Schumer,"Colin Quinn, Devin Fabry, Carla Oudin, Amy Schumer","Having thought that monogamy was never possible, a commitment-phobic career woman may have to face her fears when she meets a good guy.","English, Mandarin",USA,Nominated for 2 Golden Globes. Another 5 wins & 25 nominations.,https://m.media-amazon.com/images/M/MV5BMTQ4MjgwNTMyOV5BMl5BanBnXkFtZTgwMTc1MjI0NDE@._V1_SX300.jpg,62,86,75,116819,tt3152624,movie,10/11/2015,Universal Pictures,http://www.trainwreckmovie.com/
2801,2801,Transformers: Age of Extinction,Par.,281582200,22202,281413800,21000000,9,2014,26,2348,Transformers: Age of Extinction,NA,PG-13,27/06/2014,165 min,"Action, Adventure, Sci-Fi",Michael Bay,Ehren Kruger,"Mark Wahlberg, Stanley Tucci, Kelsey Grammer, Nicola Peltz","Autobots must escape sight from a bounty hunter who has taken control of the human serendipity: Unexpectedly, Optimus Prime and his remaining gang turn to a mechanic, his daughter, and her back street racing boyfriend for help.",English,"USA, China",5 wins & 23 nominations.,https://m.media-amazon.com/images/M/MV5BMjE1OTMyODA5M15BMl5BanBnXkFtZTgwMjc2MDk3MTE@._V1_SX300.jpg,57,18,32,273876,tt2109248,movie,30/09/2014,Paramount Pictures,http://TransformersMovie.com
2802,2802,Transformers: The Last Knight,Par.,134927500,20198,135124700,21700000,9,2017,24,2349,Transformers: The Last Knight,NA,PG-13,21/06/2017,154 min,"Action, Adventure, Sci-Fi",Michael Bay,"Art Marcum (screenplay by), Matt Holloway (screenplay by), Ken Nolan (screenplay by), Akiva Goldsman (story by), Art Marcum (story by), Matt Holloway (story by), Ken Nolan (story by)","Mark Wahlberg, Anthony Hopkins, Josh Duhamel, Laura Haddock","Autobots and Decepticons are at war, with humans on the sidelines. Optimus Prime is gone. The key to saving our future lies buried in the secrets of the past, in the hidden history of Transformers on Earth.",English,"USA, China, Canada",16 nominations.,https://m.media-amazon.com/images/M/MV5BMTk3OTI3MDk4N15BMl5BanBnXkFtZTgwNDg2ODIyMjI@._V1_SX300.jpg,52,16,27,103136,tt3371366,movie,26/09/2017,Paramount Pictures,https://www.facebook.com/transformersmovie/
2803,2803,Trapped (2016),Abr.,68400,22,68300,         NA,4,2016,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2804,2804,Trash,FCW,18600,17,18600,         NA,1,2015,41,2350,Trash,NA,R,9/10/2015,114 min,"Adventure, Crime, Drama","Stephen Daldry, Christian Duurvoort(co-director)","Andy Mulligan (based on the novel by), Felipe Braga (additional material), Richard Curtis (screenplay by)","Rickson Tevez, Wagner Moura, José Dumont, Daniel Zettel","Set in Brazil, three kids who make a discovery in a garbage dump soon find themselves running from the cops and trying to right a terrible wrong.","Portuguese, English","UK, Brazil, Germany",Nominated for 1 BAFTA Film Award. Another 2 wins & 4 nominations.,https://m.media-amazon.com/images/M/MV5BMTEyNDY2Njc1NzheQTJeQWpwZ15BbWU4MDc1NzY2NjYx._V1_SX300.jpg,72,64,50,17737,tt1921149,movie,17/11/2015,Focus Features,http://www.focusfeatures.com/trash
2805,2805,Trespass Against Us,A24,6000,26,6000,         NA,4,2017,3,2351,Trespass Against Us,NA,R,24/11/2016,99 min,"Action, Crime, Drama",Adam Smith,Alastair Siddons,"Michael Fassbender, Brendan Gleeson, Lyndsey Marshal, Georgie Smith",A man looks to find a way to escape the criminal ways of his outlaw family.,English,UK,5 nominations.,https://m.media-amazon.com/images/M/MV5BMTQ5Njk4OTgzNV5BMl5BanBnXkFtZTgwMDc0OTAxMDI@._V1_SX300.jpg,58,56,50,6008,tt3305308,movie,7/03/2017,A24 and DIRECTV,http://a24films.com/films/trespass-against-us/
2806,2806,Tribes of Palos Verdes,IFC,4700,5,4700,         NA,2,2017,48,NA,NA,NA,R,1/12/2017,104 min,Drama,"Brendan Malloy, Emmett Malloy","Karen Croner (screenplay), Karen Croner, Joy Nicholson (novel)","Maika Monroe, Cody Fern, Jennifer Garner, Justin Kirk","When the situation at her idyllic Palos Verdes home turns volatile, young Medina attempts to surf her way to happiness.",English,USA,1 win.,https://m.media-amazon.com/images/M/MV5BMjI5NTMyNjUyM15BMl5BanBnXkFtZTgwMTQxODcwNDI@._V1_SX300.jpg,57,60,49,1044,tt1507571,movie,10/04/2018,IFC Films,N/A
2807,2807,Triple 9,ORF,13653600,5551,13534100,         NA,7,2016,9,2353,Triple 9,NA,R,26/02/2016,115 min,"Action, Crime, Drama",John Hillcoat,Matt Cook,"Chiwetel Ejiofor, Casey Affleck, Anthony Mackie, Woody Harrelson",A gang of criminals and corrupt cops plan the murder of a police officer in order to pull off their biggest heist yet across town.,"English, Spanish, Russian",USA,4 nominations.,https://m.media-amazon.com/images/M/MV5BMTU0NDcxMzczMV5BMl5BanBnXkFtZTgwODkxNTUwODE@._V1_SX300.jpg,63,52,52,56959,tt1712261,movie,31/05/2016,Open Road Films,http://triple9movie.com/
2808,2808,Trolls,Fox,160838000,23767,161183800,12500000,8,2016,45,2354,Trolls,NA,PG,4/11/2016,92 min,"Animation, Adventure, Comedy","Mike Mitchell, Walt Dohrn(co-director)","Jonathan Aibel (screenplay by), Glenn Berger (screenplay by), Erica Rivinoja (story by), Thomas Dam (based on the Good Luck Trolls created by)","Anna Kendrick, Justin Timberlake, Zooey Deschanel, Christopher Mintz-Plasse","After the Bergens invade Troll Village, Poppy, the happiest Troll ever born, and the curmudgeonly Branch set off on a journey to rescue her friends.",English,USA,Nominated for 1 Oscar. Another 4 wins & 35 nominations.,https://m.media-amazon.com/images/M/MV5BMTkxNDc3OTcxMV5BMl5BanBnXkFtZTgwODk2NjAzOTE@._V1_SX300.jpg,65,74,56,58499,tt1679335,movie,7/02/2017,DreamWorks Animation,http://www.dreamworks.com/trolls/
2809,2809,Trophy,Orch.,22100,65,21600,         NA,7,2017,36,2355,Trophy,NA,NOT RATED,8/09/2017,108 min,Documentary,"Christina Clusiau, Shaul Schwarz",N/A,"Philip Glass, Christo Gomes, John Hume","This in-depth look into the powerhouse industries of big-game hunting, breeding and wildlife conservation in the U.S. and Africa unravels the complex consequences of treating animals as commodities.",English,"UK, Namibia, South Africa, Zimbabwe, USA",1 win & 6 nominations.,https://m.media-amazon.com/images/M/MV5BNjI5NGNiMjAtYzUzZS00YjMzLTg1ODctODcyNTRiMzU0NTVhXkEyXkFqcGdeQXVyNzI2NjI5MzY@._V1_SX300.jpg,74,98,80,412,tt6333066,movie,NA,The Orchard,http://trophy.film/
2810,2810,Troublemakers: The Story of Land Art,FRun,30400,32,31300,         NA,7,2016,2,2356,Troublemakers: The Story of Land Art,NA,N/A,8/01/2016,72 min,"Documentary, Biography, History",James Crump,James Crump,"Vito Acconci, Carl Andre, Germano Celant, Paula Cooper","Set in the desolate desert spaces of the American southwest, the film unearths the history of land art during the tumultuous late 1960s and early 1970s. Troublemakers is ultimately a story ...",English,USA,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU1MTk0NDU3NV5BMl5BanBnXkFtZTgwMzUwNzE2NjE@._V1_SX300.jpg,70,NA,65,80,tt4096620,movie,NA,N/A,N/A
2811,2811,True Story,FoxS,5081900,2202,5303200,         NA,7,2015,16,2357,True Story,NA,R,17/04/2015,99 min,"Crime, Drama, Mystery",Rupert Goold,"Rupert Goold (screenplay by), David Kajganich (screenplay by), Michael Finkel (based on the book by)","Jonah Hill, James Franco, Felicity Jones, Maria Dizzia",When disgraced New York Times reporter Michael Finkel meets accused killer Christian Longo - who has taken on Finkel's identity - his investigation morphs into a game of cat-and-mouse.,"English, Ibo",USA,4 nominations.,https://m.media-amazon.com/images/M/MV5BMTAzNTc5MTA0NzleQTJeQWpwZ15BbWU4MDU1MDM2NzMx._V1_SX300.jpg,63,43,50,46415,tt2273657,movie,4/08/2015,20th Century Fox,http://www.foxsearchlight.com/truestory/
2812,2812,True to the Game,Faith Media,1272400,856,1240600,         NA,7,2017,36,2358,True to the Game,NA,R,8/09/2017,108 min,Drama,Preston A. Whitmore II,"Nia Hill, Teri Woods (author)","Erica Peeples, Misan Akuya, George Arvanitidis, Stanley R. Atwater",A charismatic drug lord tries to start a new life after he falls for a young woman from Philadelphia.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMWM4ZWZhZmMtMWNmNC00MGZkLWE4NWEtNmRiN2UyYTYzNDAxXkEyXkFqcGdeQXVyMTIwODc3OTM@._V1_SX300.jpg,49,NA,NA,381,tt5116504,movie,NA,N/A,N/A
2813,2813,Truman,FR,218500,92,218400,         NA,9,2017,14,2359,Truman,NA,TV-14,7/04/2017,108 min,"Comedy, Drama",Cesc Gay,"Tomàs Aragay, Cesc Gay","Ricardo Darín, Javier Cámara, Dolores Fonzi, Eduard Fernández","Julián receives an unexpected visit from his friend Tomás, who lives in Canada. The two men, accompanied by Julián's faithful dog, Truman, will share emotional and surprising moments prompted by Julián's complicated situation.","Spanish, English","Spain, Argentina",29 wins & 31 nominations.,https://m.media-amazon.com/images/M/MV5BZGI3ZjI3ZTgtMmUwMy00YTgzLWIyYzQtMzg3ZWMyMjVlYThmXkEyXkFqcGdeQXVyMzE1ODcwNDc@._V1_SX300.jpg,73,NA,81,9291,tt3754940,movie,NA,N/A,N/A
2814,2814,Trumbo (2015),BST,8387700,2935,8489700,         NA,9,2015,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2815,2815,Trust Fund,Trans,39800,10,39900,         NA,5,2016,2,2360,Trust Fund,NA,PG,18/07/2017,107 min,Drama,Sandra L. Martin,Sandra L. Martin,"Jessica Rothe, Willie Garson, Ana Ortiz, Matthew Alan","Reese Donahue leads a seemingly ideal life, with a bright future ahead of her. But when she discovers the truth, that her mother left enough money for her to choose her own path, she's faced with a dilemma.",English,USA,N/A,https://ia.media-imdb.com/images/M/MV5BZGE1YjViZjctNmIyNy00ZTA3LWFiYjUtZjAxOWI5MTE5YTFiXkEyXkFqcGdeQXVyNTQ2ODM5Mjk@._V1_SX300.jpg,65,NA,NA,46,tt3969208,movie,NA,Transatlantic Films,http://trustfundmovie.com/
2816,2816,Truth,SPC,2708600,2053,2746300,         NA,9,2015,42,2361,Truth,NA,R,30/10/2015,125 min,"Biography, Drama, History",James Vanderbilt,"James Vanderbilt (screenplay), Mary Mapes (book)","Cate Blanchett, Robert Redford, Topher Grace, Dennis Quaid","Newsroom drama detailing the 2004 CBS 60 Minutes report investigating then-President George W. Bush's military service, and the subsequent firestorm of criticism that cost anchor Dan Rather and producer Mary Mapes their careers.",English,"Australia, USA",1 win & 6 nominations.,https://m.media-amazon.com/images/M/MV5BMzkxNjU2MzMzOF5BMl5BanBnXkFtZTgwOTA3Mjg4NjE@._V1_SX300.jpg,68,63,66,15814,tt3859076,movie,2/02/2016,Sony Pictures,http://sonyclassics.com/truth/
2817,2817,Truth or Dare,Uni.,40770900,12623,40770900,350000,9,2018,15,2362,Truth or Dare,NA,PG-13,13/04/2018,100 min,"Horror, Thriller",Jeff Wadlow,"Michael Reisz (story by), Michael Reisz (screenplay by), Jillian Jacobs (screenplay by), Christopher Roach (screenplay by), Jeff Wadlow (screenplay by)","Lucy Hale, Tyler Posey, Violett Beane, Hayden Szeto",A harmless game of Truth or Dare among friends turns deadly when someone -- or something -- begins to punish those who tell a lie or refuse the dare.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BOGU2YTZmMjYtZDUwYi00NTc1LTlkMjAtM2ViZDkzOTlhNGNhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,50,14,35,16699,tt6772950,movie,17/07/2018,Universal Pictures,https://www.blumhousestruthordare.com/
2818,2818,Tu Dors Nicole,Kino,6200,6,6100,         NA,8,2015,22,2363,Tu Dors Nicole,NA,NOT RATED,18/03/2015,93 min,"Comedy, Drama",Stéphane Lafleur,"Valérie Beaugrand-Champagne (story consultant), Stéphane Lafleur","Julianne Côté, Pierre-Luc Lafontaine, Luc Senay, Anne-Renée Duhaime","While her parents are away, a young woman and her friend are hanging out for the summer, and are joined by her brother and his bandmates.",French,Canada,4 wins & 20 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMmJhODZlMjUtMGM5NC00YmViLWEzYmYtMDJjZDM5MDg3NGEzXkEyXkFqcGdeQXVyNTQ3NTcwNzU@._V1_SX300.jpg,70,100,79,1729,tt3483194,movie,27/10/2015,Kino Lorber,http://www.kinolorber.com/press-detail.php?id=2017
