,Search,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,IMDBRating,RTRating,Metacritic,IMDBVotes,imdbID,Type,DVD,Production,Website
666,Jupiter Ascending,Jupiter Ascending,NA,PG-13,6/02/2015,127 min,"Action, Adventure, Sci-Fi","Lana Wachowski, Lilly Wachowski","Lilly Wachowski, Lana Wachowski","Mila Kunis, Channing Tatum, Sean Bean, Eddie Redmayne",A young woman discovers her destiny as an heiress of intergalactic nobility and must fight to protect the inhabitants of Earth from an ancient and destructive industry.,"English, Russian","USA, Australia",4 wins & 16 nominations.,https://m.media-amazon.com/images/M/MV5BMTQyNzk2MjA2NF5BMl5BanBnXkFtZTgwMjEwNzk3MjE@._V1_SX300.jpg,53,26,40,160425,tt1617661,movie,2/06/2015,Warner Bros. Pictures,http://www.jupiterascending.com/
667,Jurassic World,Jurassic World,NA,PG-13,12/06/2015,124 min,"Action, Adventure, Sci-Fi",Colin Trevorrow,"Rick Jaffa (screenplay by), Amanda Silver (screenplay by), Colin Trevorrow (screenplay by), Derek Connolly (screenplay by), Rick Jaffa (story by), Amanda Silver (story by), Michael Crichton (based on the characters created by)","Chris Pratt, Bryce Dallas Howard, Irrfan Khan, Vincent D'Onofrio","A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, which escapes containment and goes on a killing spree.",English,USA,14 wins & 57 nominations.,https://m.media-amazon.com/images/M/MV5BNWEyNTE0YTEtY2FkMi00MmY3LTg4MWMtODdjYjRkNGM4ZTZhXkEyXkFqcGdeQXVyMzI0NDc4ODY@._V1_SX300.jpg,70,71,59,507865,tt0369610,movie,20/10/2015,Universal Pictures,http://www.jurassicworldmovie.com/
668,Jurassic World: Fallen Kingdom,Jurassic World: Fallen Kingdom,NA,PG-13,22/06/2018,128 min,"Action, Adventure, Sci-Fi",J.A. Bayona,"Derek Connolly, Colin Trevorrow, Michael Crichton (based on characters created by)","Chris Pratt, Bryce Dallas Howard, Rafe Spall, Justice Smith","When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event.","English, Russian",USA,N/A,https://m.media-amazon.com/images/M/MV5BNzIxMjYwNDEwN15BMl5BanBnXkFtZTgwMzk5MDI3NTM@._V1_SX300.jpg,65,51,51,92651,tt4881806,movie,18/09/2018,Universal Pictures,http://www.jurassicworld.com
669,Just Before I Go,Just Before I Go,NA,R,24/04/2015,95 min,"Comedy, Drama",Courteney Cox,David Flebotte,"Seann William Scott, Olivia Thirlby, Garret Dillahunt, Kate Walsh","On the verge of giving up on life, a guy travels to his hometown to make amends.",English,USA,N/A,https://ia.media-imdb.com/images/M/MV5BNTE5MDA0NTk4MV5BMl5BanBnXkFtZTgwNTY1MDUyNTE@._V1_SX300.jpg,64,10,24,15463,tt2980472,movie,12/05/2015,A24 Films,N/A
670,Just Getting Started,Just Getting Started,NA,PG-13,8/12/2017,91 min,"Action, Comedy",Ron Shelton,Ron Shelton,"Morgan Freeman, Tommy Lee Jones, Rene Russo, Joe Pantoliano","A two-hander action comedy in the vein of Midnight Run (1988), about an ex-F.B.I. Agent (Tommy Lee Jones) and an ex-mob lawyer in the Witness Protection Program (Morgan Freeman) having to put aside their petty rivalry on the golf course to fend off a mob hit.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMzk0NDdjNWEtMDVkMC00ODdiLTgyMmYtOWM0ZDRjOTU4MjJlXkEyXkFqcGdeQXVyNjM2MDMxMDk@._V1_SX300.jpg,42,5,21,3327,tt5721088,movie,27/02/2018,Broad Green Pictures,http://www.justgettingstartedmovie.com/
671,Just One Drop,Just One Drop,NA,N/A,1/04/2017,66 min,Documentary,Laurel Chiten,N/A,N/A,A film about the most controversial form of medicine ever invented. Homeopathy,English,"USA, Australia, Canada, India, UK",N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BZDdiMzEzNjgtYjQyZS00NDU4LTk3NjgtOWMxYTBjMTA2Njc4XkEyXkFqcGdeQXVyNDk2NzI4OQ@@._V1_SX300.jpg,NA,NA,NA,NA,tt6874242,movie,NA,N/A,N/A
672,Justice League,Justice League,NA,PG-13,17/11/2017,120 min,"Action, Adventure, Fantasy",Zack Snyder,"Jerry Siegel (Superman created by), Joe Shuster (Superman created by), Chris Terrio (story by), Zack Snyder (story by), Chris Terrio (screenplay by), Joss Whedon (screenplay by), Gardner Fox (Justice League of America created by), Bob Kane (Batman created by), Bill Finger (Batman created by), William Moulton Marston (Wonder Woman created by), Jack Kirby (Fourth World created by)","Ben Affleck, Henry Cavill, Amy Adams, Gal Gadot","Fueled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne enlists the help of his newfound ally, Diana Prince, to face an even greater enemy.","English, Irish, Russian, Icelandic","UK, Canada, USA",1 win & 6 nominations.,https://m.media-amazon.com/images/M/MV5BYWVhZjZkYTItOGIwYS00NmRkLWJlYjctMWM0ZjFmMDU4ZjEzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,66,40,45,273541,tt0974015,movie,13/03/2018,Warner Bros. Pictures,http://www.justiceleaguethemovie.com/
673,Kabali,Kabali,NA,NOT RATED,22/07/2016,153 min,"Action, Crime, Thriller",Pa. Ranjith,Pa. Ranjith,"Rajinikanth, Winston Chao, Radhika Apte, Dhansika","Before Indian Independence, many Tamils from South India were sent to Malaysia as indentured laborers. Kabali, the protagonist, fights this oppression. After a lengthy imprisonment, he is more determined than ever to fight for his people.","Tamil, Telugu, Hindi, English, Malayalam, Mandarin, French","India, Malaysia",N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BNTU0NzExMTQtMjhjYS00ZTRkLWI4NTgtOGE4NDNjYzM3M2I3XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg,65,67,NA,8953,tt5071886,movie,NA,Cinegalaxy,N/A
674,Kaili Blues,Kaili Blues,NA,N/A,15/07/2016,113 min,"Drama, Mystery",Gan Bi,Gan Bi,"Yongzhong Chen, Yue Guo, Linyan Liu, Feiyang Luo","While travelling the countryside to locate his nephew, a small town doctor finds himself interacting with people from his past and future.",Mandarin,China,8 wins & 8 nominations.,https://m.media-amazon.com/images/M/MV5BMTNlMWZjZjctOGQ5Zi00ZDVmLWJkYzQtNDhiNzA2NzliNzdhXkEyXkFqcGdeQXVyNTcwMjM1NzU@._V1_SX300.jpg,72,96,85,1484,tt4613272,movie,NA,N/A,N/A
675,Kamikaze '89,Kamikaze 89,NA,NOT RATED,16/07/1982,106 min,"Sci-Fi, Thriller",Wolf Gremm,"Wolf Gremm, Robert Katz, Per Wahlöö (novel)","Rainer Werner Fassbinder, Günther Kaufmann, Boy Gobert, Arnold Marquis","In a totalitarian society of the future, in which the government controls all facets of the media, a homicide detective investigates a string of bombings, and finds out more than he bargained for.",German,West Germany,1 win & 2 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA3MDQ1OTEwMV5BMl5BanBnXkFtZTgwNTgzMzUzMDI@._V1_SX300.jpg,58,NA,NA,419,tt0084191,movie,NA,N/A,N/A
676,Kangaroo,Kangaroo,NA,NOT RATED,1/06/1952,84 min,"Adventure, Drama, Western",Lewis Milestone,"Martin Berkeley (story), Harry Kleiner (screenplay)","Maureen O'Hara, Peter Lawford, Finlay Currie, Richard Boone","In turn-of-the-century Australia two criminals ingratiate themselves with a rancher in order to swindle him.However, the two partners become rivals for the affection of the rancher's beautiful daughter.",English,USA,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BMTIwMDg1ODE5MV5BMl5BanBnXkFtZTYwMjgwNzg5._V1_SX300.jpg,56,NA,NA,181,tt0044788,movie,27/07/2010,VCI Entertainment,http://www.vcientertainment.com/Film-Categories?product_id=418
677,Kaptaan,Kaptaan,NA,N/A,20/05/2016,142 min,"Comedy, Drama, Family",Mandeep Kumar,"Surmeet Maavi (dialogue), Dheeraj Rattan (story and screenplay), Balraj Syal (dialogue)","Gippy Grewal, Monica Gill, Karishma Kotak, Pankaj Dheer",A lawyer rethinks his life after he works with an NGO.,Panjabi,India,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BZjI5NzcxMzgtZjUxNy00N2ZiLThlMjctMTJkMGZlNDgxYTRlXkEyXkFqcGdeQXVyNjcyOTk0MjQ@._V1_SX300.jpg,63,NA,NA,144,tt5595240,movie,NA,N/A,N/A
678,Karl Marx City,Karl Marx City,NA,N/A,29/03/2017,89 min,Documentary,"Petra Epperlein, Michael Tucker","Petra Epperlein, Michael Tucker","Christa Epperlein, Petra Epperlein, Uwe Epperlein, Volker Epperlein",A filmmaker journey through the former East Germany looking into her father's 1999 suicide.,"German, English",Germany,3 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjQxMDcwMDU0MF5BMl5BanBnXkFtZTgwMzE0MjE3OTE@._V1_SX300.jpg,65,96,73,110,tt5952526,movie,5/12/2017,Pepper and Bones,N/A
679,Karwaan,Karwaan,NA,N/A,10/08/2018,N/A,Drama,Akarsh Khurana,"Adhir Bhat, Hussain Dalal, Akarsh Khurana, Bejoy Nambiar","Irrfan Khan, Dulquer Salmaan, Mithila Palkar, Amala Akkineni",N/A,Hindi,India,N/A,https://ia.media-imdb.com/images/M/MV5BMGJjYmMzMDEtNWJkNi00ZTU0LTkzNzUtMDUzNjZjNGNjNjVkXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,NA,80,NA,NA,tt7919680,movie,NA,RSVP Movies,N/A
680,Keanu,Keanu,NA,R,29/04/2016,100 min,"Action, Comedy",Peter Atencio,"Jordan Peele, Alex Rubens","Jordan Peele, Keegan-Michael Key, Tiffany Haddish, Method Man","When an L.A. drug kingpin's kitten unexpectedly enters the life of two cousins, they will have to go through gangs, hitmen and drug dealers who claim him in order to get him back.",English,USA,5 wins & 5 nominations.,https://m.media-amazon.com/images/M/MV5BMTUwODA0NzQxMl5BMl5BanBnXkFtZTgwNzUyMjY3ODE@._V1_SX300.jpg,63,78,63,38431,tt4139124,movie,2/08/2016,Warner Bros. Pictures,http://keanumovie.com/
681,Kedi,Kedi,NA,NOT RATED,10/02/2017,79 min,Documentary,Ceyda Torun,N/A,"Bengu, Deniz, Duman, Gamsiz","A profile of an ancient city and its unique people, seen through the eyes of the most mysterious and beloved animal humans have ever known, the Cat.",Turkish,"Turkey, USA",4 wins & 19 nominations.,https://m.media-amazon.com/images/M/MV5BMjEwNTM2NDE0Nl5BMl5BanBnXkFtZTgwMzMzNTc4MDI@._V1_SX300.jpg,77,NA,78,9230,tt4420704,movie,NA,N/A,N/A
682,Keep Quiet,Keep Quiet,NA,N/A,14/04/2016,90 min,Documentary,"Sam Blair, Joe Martin",N/A,Csanad Szegedi,An anti-Semitic far-right politician's astonishing transformation after finding out he is Jewish.,"English, Hungarian, German","UK, Hungary",3 nominations.,https://m.media-amazon.com/images/M/MV5BMzY1ZTlmMjQtYjJkYS00ZmYyLTkwNGEtMjg3ODI4MWQ0YzRlXkEyXkFqcGdeQXVyMjQ3NzUxOTM@._V1_SX300.jpg,67,100,76,241,tt4789160,movie,NA,Kino Lorber,http://keepquietmovie.com/
683,Keep the Change,Keep the Change,NA,M,9/06/1992,95 min,Drama,Andy Tennant,"Thomas McGuane (novel), John Miglis (teleplay)","William Petersen, Rachel Ticotin, Lolita Davidovich, Buck Henry","Joe Starling,a failed artist,returns to his hometown in search of life's meaning and finds himself caught up in a number of predicaments not of his making. Along the way, Joe encounters ...",English,USA,1 win.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjAwODgzMDYwN15BMl5BanBnXkFtZTcwMDI4ODAyMQ@@._V1_SX300.jpg,58,NA,NA,70,tt0104601,movie,21/10/1992,Turner Home Entertainment,N/A
684,Keys to the Heart,Keys to the Heart,NA,N/A,17/01/2018,120 min,"Comedy, Drama, Family",Sung-Hyun Choi,Sung-Hyun Choi,"Byung-hun Lee, Jung-min Park, Yuh-Jung Youn, Ji-min Han","A washed-up boxer, Jo-ha, has lived his life relying on nothing but his physical strength. His champion glory lasted only a moment, and now pride is all Jo-ha has. He runs into his mom who ...",Korean,South Korea,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BZmNhOGZlMmQtZjk5MC00MTBiLWI0MzktOWI1NGRiNmJhYzk5XkEyXkFqcGdeQXVyNDIzMTI4NDE@._V1_SX300.jpg,79,NA,NA,36,tt6985200,movie,NA,CJ Entertainment,N/A
685,Ki & Ka,Ki & Ka,NA,NOT RATED,1/04/2016,126 min,"Comedy, Romance",R. Balki,"R. Balki, Rishi Virmani","Amitabh Bachchan, Kareena Kapoor, Arjun Kapoor, Jaya Bhaduri","Follows a young, married couple whose relationship challenges the gender roles placed upon women and men in Indian society.","Hindi, Tamil, Telugu",India,N/A,https://m.media-amazon.com/images/M/MV5BNGZiOWYyNmUtN2E3Ni00YmYwLThiODgtOWJlZjQyY2RiMDcyXkEyXkFqcGdeQXVyNTE0MDc0NTM@._V1_SX300.jpg,58,NA,NA,4380,tt4744086,movie,NA,N/A,N/A
686,Kickboxer Retaliation,Kickboxer: Retaliation,NA,R,26/01/2018,110 min,"Action, Drama",Dimitri Logothetis,"Jean-Claude Van Damme (based on characters created by), Mark DiSalle (based on characters created by), Dimitri Logothetis (screenplay by), Jim McGrath (screenplay by)","Alain Moussi, Christopher Lambert, Jean-Claude Van Damme, Mike Tyson","One year after the events of ""Kickboxer: Vengeance"", Kurt Sloan has vowed never to return to Thailand. However, while gearing up for a MMA title shot, he finds himself sedated and forced ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNWNmOTc1YjktMWU3Mi00ZGMwLTg4YTItNGMxMmFhNmQwNWUyXkEyXkFqcGdeQXVyMTk0NTY2ODQ@._V1_SX300.jpg,50,91,54,2354,tt5208950,movie,13/03/2018,Well Go USA Entertainment,http://www.wellgousa.com/theatrical/kickboxer-retaliation
687,Kidnapping of Michel Houellebecq,The Kidnapping of Michel Houellebecq,NA,NOT RATED,25/03/2015,96 min,"Comedy, Drama",Guillaume Nicloux,Guillaume Nicloux,"Michel Houellebecq, Mathieu Nicourt, Maxime Lefrançois, Françoise Lebrun",The author Michel Houellebecq is abducted by three amateur kidnappers.,"French, Polish",France,1 win & 4 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BOGI2ZmVlZGUtZmQ0NS00NDlkLTg5NzMtYTVhNmM0MzA2MGYyXkEyXkFqcGdeQXVyNjc2NjkzNTg@._V1_SX300.jpg,68,91,64,972,tt3504542,movie,24/08/2015,Kino Lorber Films,http://www.kidnappingmichel.com/
688,Kill Me Three Times,Kill Me Three Times,NA,R,10/04/2015,90 min,"Comedy, Crime, Thriller",Kriv Stenders,James McFarland,"Simon Pegg, Steve Le Marquand, Alice Braga, Teresa Palmer","Professional hit-man Charlie Wolfe finds himself in three tales of murder, blackmail and revenge after a botched contract assignment.",English,"USA, Australia",4 nominations.,https://m.media-amazon.com/images/M/MV5BMTQ0ODcxMjc1Ml5BMl5BanBnXkFtZTgwNDI4OTg1NDE@._V1_SX300.jpg,59,15,30,17150,tt2393845,movie,7/07/2015,Magnolia Pictures,http://magnetreleasing.com/killmethreetimes/
689,"Kill Me, Deadly","Kill Me, Deadly",NA,N/A,1/04/2016,100 min,"Comedy, History, Mystery",Darrett Sanders,"Bill Robens (story), Bill Robens, Bill Robens","Kirsten Vangsness, Dean Lemont, Lesley-Anne Down, Joe Mantegna","It's 1947, and hard-boiled private investigator Charlie Nickels' client is murdered and her priceless diamond stolen. The investigation forces him to do the one thing he vowed never to do again: trust a dame.",English,USA,1 win.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxNDYyMjc3OV5BMl5BanBnXkFtZTgwMzk0NzAzODE@._V1_SX300.jpg,74,NA,NA,47,tt2022441,movie,NA,N/A,N/A
690,Kindergarten Teacher,The Kindergarten Teacher,NA,NOT RATED,10/09/2014,119 min,Drama,Nadav Lapid,Nadav Lapid,"Sarit Larry, Avi Shnaidman, Lior Raz, Gilles Ben-David","A kindergarten teacher discovers in a five year-old child a prodigious gift for poetry. Amazed and inspired by this young boy, she decides to protect his talent in spite of everyone.",Hebrew,"Israel, France",5 wins & 10 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BYWRkODI1OGQtZDdjZi00NGQ1LTgzZDctM2YxYzcyNTQ1MjU1XkEyXkFqcGdeQXVyMjMyMzI4MzY@._V1_SX300.jpg,66,75,68,715,tt3709678,movie,8/12/2015,Kino Lorber Films,N/A
691,King Arthur: Legend of the Sword,King Arthur: Legend of the Sword,NA,PG-13,12/05/2017,126 min,"Action, Adventure, Drama",Guy Ritchie,"Joby Harold (screenplay by), Guy Ritchie (screenplay by), Lionel Wigram (screenplay by), David Dobkin (story by), Joby Harold (story by)","Charlie Hunnam, Astrid Bergès-Frisbey, Jude Law, Djimon Hounsou","Robbed of his birthright, Arthur comes up the hard way in the back alleys of the city. But once he pulls the sword from the stone, he is forced to acknowledge his true legacy - whether he likes it or not.",English,USA,8 nominations.,https://m.media-amazon.com/images/M/MV5BMjM3ODY3Njc5Ml5BMl5BanBnXkFtZTgwMjQ5NjM5MTI@._V1_SX300.jpg,68,30,41,152125,tt1972591,movie,8/08/2017,Warner Bros. Pictures,http://kingarthurmovie.com/
692,King Georges,King Georges,NA,UNRATED,26/02/2016,77 min,"Documentary, Biography",Erika Frankel,Erika Frankel (story),"Nicholas Elmi, Georges Perrier","Documentary about Philadelphia restaurateur Georges Perrier and the closing of his iconic restaurant, Le Bec-Fin.",English,USA,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BMjE1MjYwMTU1OF5BMl5BanBnXkFtZTgwMzE2NzMzODE@._V1_SX300.jpg,69,100,71,202,tt4092774,movie,26/02/2016,Sundance Selects,http://erikafrankel.com/king-georges
693,Kingsman: The Secret Service,Kingsman: The Secret Service,NA,R,13/02/2015,129 min,"Action, Adventure, Comedy",Matthew Vaughn,"Jane Goldman (screenplay by), Matthew Vaughn (screenplay by), Mark Millar (based on the comic book ""The Secret Service"" by), Dave Gibbons (based on the comic book ""The Secret Service"" by)","Adrian Quinton, Colin Firth, Mark Strong, Jonno Davies","A spy organization recruits an unrefined, but promising street kid into the agency's ultra-competitive training program, just as a global threat emerges from a twisted tech genius.","English, Arabic, Swedish","UK, USA",8 wins & 26 nominations.,https://m.media-amazon.com/images/M/MV5BMTkxMjgwMDM4Ml5BMl5BanBnXkFtZTgwMTk3NTIwNDE@._V1_SX300.jpg,77,74,60,514842,tt2802144,movie,9/06/2015,20th Century Fox,http://www.KingsmanMovie.com
694,Knight of Cups,Knight of Cups,NA,R,4/03/2016,118 min,"Drama, Romance",Terrence Malick,Terrence Malick,"Christian Bale, Cate Blanchett, Natalie Portman, Brian Dennehy",A writer indulging in all that Los Angeles and Las Vegas has to offer undertakes a search for love and self via a series of adventures with six different women.,"English, German, Spanish, Serbian",USA,3 wins & 8 nominations.,https://m.media-amazon.com/images/M/MV5BMjQyOTcwODIyNF5BMl5BanBnXkFtZTgwMDE4OTI4NzE@._V1_SX300.jpg,57,NA,53,20875,tt2101383,movie,NA,N/A,N/A
695,Know How,Know How,NA,N/A,15/05/2015,106 min,"Drama, Musical",Juan Carlos Pineiro Escoriaza,"Deshawn Brown, Niquana Clark, Michael Dew, Gabrielle Garcia, Gilbert Howard, Claribelle Pagan, Juan Carlos Pineiro Escoriaza, Ebonee Simpson","Deshawn Brown, Niquana Clark, Michael Dew, Gabrielle Garcia","A film about finding hope, written and acted by a group of New York City foster care teenagers from the stories of their lives and directed by first-time director Juan Carlos Pineiro ...",English,USA,6 wins & 3 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ2MTQ4ODIxMF5BMl5BanBnXkFtZTgwMDQyMzYxMTE@._V1_SX300.jpg,71,40,NA,50,tt2089721,movie,1/06/2015,First Run Features,http://www.knowhowmovie.com
696,Kong: Skull Island,Kong: Skull Island,NA,PG-13,10/03/2017,118 min,"Action, Adventure, Fantasy",Jordan Vogt-Roberts,"Dan Gilroy (screenplay by), Max Borenstein (screenplay by), Derek Connolly (screenplay by), John Gatins (story by)","Tom Hiddleston, Samuel L. Jackson, Brie Larson, John C. Reilly","A team of scientists explore an uncharted island in the Pacific, venturing into the domain of the mighty Kong, and must fight to escape a primal Eden.","English, Vietnamese","USA, China",Nominated for 1 Oscar. Another 1 win & 15 nominations.,https://m.media-amazon.com/images/M/MV5BMTUwMzI5ODEwNF5BMl5BanBnXkFtZTgwNjAzNjI2MDI@._V1_SX300.jpg,67,75,62,211421,tt3731562,movie,18/07/2017,Warner Bros. Pictures/Legendary Pictures,http://kongskullislandmovie.com/
697,Krampus,Krampus,NA,PG-13,4/12/2015,98 min,"Comedy, Fantasy, Horror",Michael Dougherty,"Todd Casey, Michael Dougherty, Zach Shields","Emjay Anthony, Adam Scott, Toni Collette, Stefania LaVie Owen",A boy who has a bad Christmas ends up accidentally summoning a festive demon to his family home.,"English, German",USA,4 wins & 14 nominations.,https://m.media-amazon.com/images/M/MV5BMjk0MjMzMTI3NV5BMl5BanBnXkFtZTgwODEyODkxNzE@._V1_SX300.jpg,62,65,49,50402,tt3850590,movie,26/04/2016,Universal Pictures,http://www.krampusthefilm.com/
698,Krisha,Krisha,NA,R,18/03/2016,83 min,Drama,Trey Edward Shults,Trey Edward Shults,"Krisha Fairchild, Alex Dobrenko, Robyn Fairchild, Chris Doubek","Krisha returns for Thanksgiving dinner after ten years away from her family, but past demons threaten to ruin the festivities.",English,USA,16 wins & 23 nominations.,https://ia.media-imdb.com/images/M/MV5BMTY0NTgxNDgxOV5BMl5BanBnXkFtZTgwNjE1NzIzNzE@._V1_SX300.jpg,71,97,86,4814,tt4266638,movie,NA,A24 Films,N/A
699,Krystal,Krystal,NA,R,13/04/2018,90 min,"Comedy, Drama",William H. Macy,Will Aldis,"Rosario Dawson, Nick Robinson, T.I., Grant Gustin",A young man living a sheltered life develops a crush on a stripper and joins her Alcoholics Anonymous group just so he can be in the same room with her.,English,USA,N/A,https://ia.media-imdb.com/images/M/MV5BNjEwMTk4MDUxOV5BMl5BanBnXkFtZTgwMTI2OTMxNTM@._V1_SX300.jpg,44,NA,39,158,tt0835802,movie,NA,N/A,N/A
700,Kuleana,Kuleana,NA,N/A,23/06/2017,95 min,"Drama, Mystery",Brian Kohne,Brian Kohne,"Moronai Kanekoa, Kristina Anapau, Sonya Balmores, Stefan C. Schaefer","A disabled Vietnam vet rediscovers the Hawaiian warrior within to protect his family, defend their land, and clear his father's name.","English, Hawaiian, Japanese",USA,1 win.,https://images-na.ssl-images-amazon.com/images/M/MV5BMWM5NzdmZmUtY2VkOC00ZjE3LTlkMDktYTgxOTFhODk3Y2RmXkEyXkFqcGdeQXVyMTkwMzM0MTA@._V1_SX300.jpg,76,NA,NA,28,tt5722516,movie,NA,Hawai'i Cinema,https://www.facebook.com/KuleanaMovie
701,"Kumiko, The Treasure Hunter","Kumiko, the Treasure Hunter",NA,UNRATED,20/02/2015,105 min,Drama,David Zellner,"David Zellner, Nathan Zellner","Rinko Kikuchi, Nobuyuki Katsube, Kanako Higashi, Ichi Kyokaku","A jaded Japanese woman discovers a hidden copy of Fargo (1996) on VHS, believing it to be a treasure map indicating the location of a large case of money.","English, Japanese",USA,10 wins & 7 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTAzNzI1MTkyNzBeQTJeQWpwZ15BbWU4MDQ0NDU0MzQx._V1_SX300.jpg,66,88,68,10125,tt3263614,movie,30/06/2015,Amplify,http://kumikothetreasurehunter.com/
702,Kung Fu Killer,Kung Fu Killer,NA,NOT RATED,24/04/2015,100 min,"Action, Drama",Teddy Chan,"Teddy Chan (original story), Ho Leung Lau (original story), Ho Leung Lau (screenplay), Tin Shu Mak (screenplay)","Donnie Yen, Baoqiang Wang, Charlie Yeung, Bing Bai","A martial arts instructor from the police force gets imprisoned after killing a man by accident. But when a vicious killer starts targeting martial arts masters, the instructor offers to help the police in return for his freedom.","Cantonese, Mandarin","China, Hong Kong",3 wins & 12 nominations.,https://m.media-amazon.com/images/M/MV5BMTYwMjY5NzcxMl5BMl5BanBnXkFtZTgwODYxNzIxNTE@._V1_SX300.jpg,65,72,66,8156,tt2952602,movie,21/07/2015,Well Go USA,http://www.wellgousa.com/theatrical/kung-fu-killer
703,Kung Fu Panda 3,Kung Fu Panda 3,NA,PG,29/01/2016,95 min,"Animation, Action, Adventure","Alessandro Carloni, Jennifer Yuh Nelson","Jonathan Aibel, Glenn Berger","Jack Black, Bryan Cranston, Dustin Hoffman, Angelina Jolie","Continuing his ""legendary adventures of awesomeness"", Po must face two hugely epic, but different threats: one supernatural and the other a little closer to his home.","English, Mandarin","China, USA",1 win & 10 nominations.,https://m.media-amazon.com/images/M/MV5BMTUyNzgxNjg2M15BMl5BanBnXkFtZTgwMTY1NDI1NjE@._V1_SX300.jpg,71,86,66,105265,tt2267968,movie,28/06/2016,DreamWorks Animation,https://www.facebook.com/kungfupanda
704,Kung Fu Yoga,Kung Fu Yoga,NA,NOT RATED,28/01/2017,107 min,"Action, Adventure, Comedy",Stanley Tong,Stanley Tong,"Jackie Chan, Disha Patani, Amyra Dastur, Aarif Rahman",Two professors team up to locate a lost treasure and embark on an adventure that takes them from a Tibetan ice cave to Dubai to a mountain temple in India.,"Mandarin, English","China, India, Nepal",N/A,https://m.media-amazon.com/images/M/MV5BNTAxZTQ4MmMtNDU2OS00NGRhLTllMmItZDQwODZlNTdjYzQyL2ltYWdlXkEyXkFqcGdeQXVyMjU3NTI0Mg@@._V1_SX300.jpg,52,NA,50,6236,tt4217392,movie,NA,N/A,N/A
705,L'attesa,L'attesa,NA,NOT RATED,29/04/2016,100 min,Drama,Piero Messina,"Giacomo Bendotti, Ilaria Macchia, Andrea Paolo Massara, Piero Messina, Luigi Pirandello (play)","Juliette Binoche, Giorgio Colangeli, Lou de Laâge, Domenico Diele",A mother unexpectedly meets her son's fiancée at a villa in Sicily and gets to know her as she waits for her son to arrive.,"Italian, French","Italy, France",6 wins & 9 nominations.,https://m.media-amazon.com/images/M/MV5BMjM0NTUyNDk0Ml5BMl5BanBnXkFtZTgwMTYwNTQ0ODE@._V1_SX300.jpg,65,NA,58,1606,tt3715122,movie,NA,N/A,N/A
706,La Boda de Valentina,La Boda de Valentina,NA,R,9/02/2018,107 min,"Comedy, Romance",Marco Polo Constandse,"Beto Gómez (based on story idea by), Santiago Limón, Issa López","Kate Vernon, Ryan Carnes, Jesús Zavala, Omar Chaparro","Valentina has the perfect life in America. Her universe trembles when Jason, her boyfriend, proposes marriage and she must confront her family, the Hidalgo, the most chaotic and surreal political dynasty in the history of Mexico.","Spanish, English",Mexico,N/A,https://m.media-amazon.com/images/M/MV5BOTc0ZDY0OGQtODM0Yi00YWQ4LTg1MzItMTU2NGFmZDQ1N2UyXkEyXkFqcGdeQXVyMjQ1MDk0MA@@._V1_SX300.jpg,46,22,NA,414,tt4823538,movie,NA,Pantelion Films,N/A
707,La Familia,La familia,NA,N/A,3/08/2018,82 min,Drama,Gustavo Rondón Córdova,Gustavo Rondón Córdova,"Giovanni García, Reggie Reyes",Andres and his 12 year old son Pedro lives in a blue-collar violent neighborhood in the outskirts of Caracas but hardly see each other. One day Andres comes home Pedro has gotten himself in serious trouble after hurting a boy in a fight.,Spanish,"Venezuela, Chile, Norway",8 nominations.,https://m.media-amazon.com/images/M/MV5BN2ZkYWQyMmUtZjBhYi00ZjdjLWFjODktZGRmZTMzNjIzMzFlXkEyXkFqcGdeQXVyNzAzMjAwODQ@._V1_SX300.jpg,68,86,NA,163,tt6107516,movie,NA,Film Movement,N/A
